"","eu_state","code","greenhouse","co2","ch4","ch4_co2","no2","no2_co2","hfc_co2","pfc_co2","nf3_sf6_co2","co2_bio_fuel","acidifying_gasses","sox_so2","nox_so2","nh3_so2","o3_precursors","nox_nmvoc","co","co_nmvoc","ch4_nmvoc","nox","ch3","part_u2_5","part_u10","non_ch4_vol","year"
"100","France","FR",179.24,122.21,1.15,28.78,0.07,20.38,7.3,0.32,0.25,14.67,0.99,0.11,0.31,0.58,1,0.53,0.67,0.07,0.02,0.44,0.3,0.03,0.07,0.38,2014
"101","Croatia","HR",498.61,357.34,3.61,90.32,0.14,42.13,8.64,0,0.18,12.42,2.82,0.37,0.87,1.58,2.8,1.51,1.36,0.15,0.05,1.24,0.83,0.14,0.42,1.08,2014
"102","Hungary","HU",552.85,399.47,3.47,86.82,0.16,47.63,17.95,0.05,0.93,45.76,2.63,0.17,1,1.45,2.6,1.75,0.85,0.09,0.05,1.43,0.76,0.09,0.34,0.71,2014
"103","Austria","AT",187.24,149.26,0.87,21.74,0.04,10.61,4.5,0.18,0.95,55.14,0.68,0.05,0.24,0.39,0.75,0.42,0.73,0.08,0.01,0.34,0.21,0.02,0.06,0.24,2014
"104","Belgium","BE",254.22,206.7,0.82,20.46,0.06,17.02,9.43,0.36,0.27,23.48,0.76,0.1,0.31,0.36,0.85,0.53,0.6,0.07,0.01,0.44,0.19,0.02,0.04,0.24,2014
"105","Bulgaria","BG",1486.71,1189.34,6.92,173.11,0.35,104.91,18.89,0,0.45,42.03,7.72,4.86,1.91,0.96,4.96,3.33,2.68,0.3,0.1,2.73,0.5,0.17,0.63,1.25,2014
"106","Switzerland","CH",67.48,50.35,0.37,9.2,0.02,5.24,2.16,0.04,0.49,9.56,0.3,0.01,0.1,0.19,0.31,0.17,0.15,0.02,0.01,0.14,0.1,0.01,0.02,0.12,2014
"107","Cyprus","CY",433.97,356.05,2.14,53.39,0.05,13.81,9.68,0,1.03,6.61,2.74,1.12,0.62,1.01,1.49,1.07,0.39,0.04,0.03,0.88,0.53,0.04,0.09,0.34,2014
"108","Czechia","CZ",737.36,592.91,3.55,88.87,0.13,38.84,16.17,0.02,0.56,35.38,2.81,0.8,0.87,1.14,2.63,1.52,1.7,0.19,0.05,1.25,0.6,0.07,0.15,0.87,2014
"109","Germany","DE",289.86,250.64,0.82,20.47,0.05,14.46,3.03,0.09,1.17,28,1.04,0.18,0.4,0.46,1.13,0.71,0.61,0.07,0.01,0.58,0.24,0.04,0.09,0.35,2014
"110","Denmark","DK",335.61,277.75,1.24,30.98,0.08,23.87,2.34,0.01,0.67,45.75,5.65,2.26,2.81,0.58,5.48,4.9,0.66,0.07,0.02,4.02,0.31,0.23,0.28,0.49,2014
"111","Estonia","EE",1201.95,1080.79,2.42,60.47,0.17,50.02,10.55,0,0.12,117.78,5.96,3,1.81,1.16,4.25,3.15,2.61,0.29,0.03,2.58,0.61,0.42,0.78,0.79,2014
"112","Greece","EL",597.77,472.72,2.57,64.15,0.09,26.86,33.14,0.86,0.03,8.57,4.08,1.46,1.87,0.75,4.06,3.26,1.63,0.18,0.04,2.67,0.39,0.22,0.42,0.59,2014
"113","Ireland","IE",305.31,190.9,2.99,74.72,0.12,35.47,3.99,0.02,0.21,8.72,1.59,0.06,0.33,1.21,1.09,0.58,0.19,0.02,0.04,0.47,0.63,0.03,0.1,0.45,2014
"114","Spain","ES",284.84,213.77,1.53,38.2,0.06,17.37,15.21,0.07,0.22,14.66,1.67,0.26,0.53,0.88,1.52,0.92,0.91,0.1,0.02,0.76,0.46,0.06,0.12,0.47,2014
"115","Finland","FI",310.47,251.39,1.05,26.26,0.09,26.19,6.41,0.02,0.19,178.29,1.26,0.27,0.64,0.35,1.48,1.11,0.66,0.07,0.01,0.91,0.18,0.06,0.12,0.28,2014
"116","Iceland","IS",437.69,334.16,2.07,51.74,0.09,26.8,16.62,8.18,0.19,0.68,7.7,5.17,1.71,0.83,4.41,2.97,8.7,0.96,0.03,2.44,0.44,0.12,0.17,0.45,2014
"117","Portugal","PT",372.66,281.63,2.44,60.91,0.07,20.94,8.92,0.08,0.17,40.47,1.75,0.3,0.75,0.7,2.17,1.31,0.95,0.1,0.03,1.08,0.37,0.21,0.32,0.72,2014
"118","Romania","RO",754.14,491.05,7.11,177.7,0.26,78.76,6.19,0.05,0.39,19.36,4.82,1.34,0.96,2.51,3.03,1.67,2.53,0.28,0.1,1.37,1.32,0.15,0.41,0.98,2014
"119","Serbia","RS",NA,1136.76,10.83,270.76,0.11,33.1,0.01,NA,0,30.42,15.84,11.29,2.46,2.08,6.93,4.29,4.57,0.5,0.15,3.52,1.1,0.43,0.82,1.98,2014
"120","Sweden","SE",124.75,98.87,0.47,11.75,0.04,11.72,2.09,0.21,0.12,104.89,0.66,0.09,0.31,0.25,0.86,0.54,0.45,0.05,0.01,0.44,0.13,0.03,0.06,0.27,2014
